model,condition,repeat,state,wait,eff,se,P_static,raw_response,decision,probability_0_100,probability_0_1,reasoning,parse_success
MiroThinker-1.7-mini,prompt_unconstrained,1,1,0,0.3,0.0,0.60773610,Decision: No Probability: 0 Reasoning: No benefit with zero effectiveness.,No,0.0,0.0,No benefit with zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,2,1,0,0.3,0.0,0.60773610,Decision: No Probability: 0 Reasoning: No benefit with zero effectiveness.,No,0.0,0.0,No benefit with zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,3,1,0,0.3,0.0,0.60773610,Decision: No Probability: 0 Reasoning: No benefit with zero effectiveness.,No,0.0,0.0,No benefit with zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,4,1,0,0.3,0.0,0.60773610,Decision: No Probability: 0 Reasoning: No benefit with zero effectiveness.,No,0.0,0.0,No benefit with zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,5,1,0,0.3,0.0,0.60773610,Decision: No Probability: 0 Reasoning: No benefit with zero effectiveness.,No,0.0,0.0,No benefit with zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,6,1,0,0.3,0.0,0.60773610,Decision: No Probability: 0 Reasoning: No benefit with zero effectiveness.,No,0.0,0.0,No benefit with zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,7,1,0,0.3,0.0,0.60773610,Decision: No Probability: 0 Reasoning: No benefit with zero effectiveness.,No,0.0,0.0,No benefit with zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,8,1,0,0.3,0.0,0.60773610,Decision: No Probability: 0 Reasoning: No benefit with zero effectiveness.,No,0.0,0.0,No benefit with zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,9,1,0,0.3,0.0,0.60773610,Decision: No Probability: 0 Reasoning: No benefit with zero effectiveness.,No,0.0,0.0,No benefit with zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,10,1,0,0.3,0.0,0.60773610,Decision: No Probability: 0 Reasoning: No benefit with zero effectiveness.,No,0.0,0.0,No benefit with zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,1,2,2,0.3,0.0,0.47575702,Decision: No Probability: 0 Reasoning: No benefit due to zero effectiveness.,No,0.0,0.0,No benefit due to zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,2,2,2,0.3,0.0,0.47575702,Decision: No Probability: 0 Reasoning: No benefit due to zero effectiveness.,No,0.0,0.0,No benefit due to zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,3,2,2,0.3,0.0,0.47575702,Decision: No Probability: 0 Reasoning: No benefit due to zero effectiveness.,No,0.0,0.0,No benefit due to zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,4,2,2,0.3,0.0,0.47575702,Decision: No Probability: 0 Reasoning: No benefit due to zero effectiveness.,No,0.0,0.0,No benefit due to zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,5,2,2,0.3,0.0,0.47575702,Decision: No Probability: 0 Reasoning: No benefit due to zero effectiveness.,No,0.0,0.0,No benefit due to zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,6,2,2,0.3,0.0,0.47575702,Decision: No Probability: 0 Reasoning: No benefit due to zero effectiveness.,No,0.0,0.0,No benefit due to zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,7,2,2,0.3,0.0,0.47575702,Decision: No Probability: 0 Reasoning: No benefit due to zero effectiveness.,No,0.0,0.0,No benefit due to zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,8,2,2,0.3,0.0,0.47575702,Decision: No Probability: 0 Reasoning: No benefit due to zero effectiveness.,No,0.0,0.0,No benefit due to zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,9,2,2,0.3,0.0,0.47575702,Decision: No Probability: 0 Reasoning: No benefit due to zero effectiveness.,No,0.0,0.0,No benefit due to zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,10,2,2,0.3,0.0,0.47575702,Decision: No Probability: 0 Reasoning: No benefit due to zero effectiveness.,No,0.0,0.0,No benefit due to zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,1,3,4,0.3,0.0,0.34707940,Decision: No Probability: 0 Reasoning: No benefit due to zero effectiveness.,No,0.0,0.0,No benefit due to zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,2,3,4,0.3,0.0,0.34707940,Decision: No Probability: 0 Reasoning: No benefit due to zero effectiveness.,No,0.0,0.0,No benefit due to zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,3,3,4,0.3,0.0,0.34707940,Decision: No Probability: 0 Reasoning: No benefit due to zero effectiveness.,No,0.0,0.0,No benefit due to zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,4,3,4,0.3,0.0,0.34707940,Decision: No Probability: 0 Reasoning: No benefit due to zero effectiveness.,No,0.0,0.0,No benefit due to zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,5,3,4,0.3,0.0,0.34707940,Decision: No Probability: 0 Reasoning: No benefit due to zero effectiveness.,No,0.0,0.0,No benefit due to zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,6,3,4,0.3,0.0,0.34707940,Decision: No Probability: 0 Reasoning: No benefit due to zero effectiveness.,No,0.0,0.0,No benefit due to zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,7,3,4,0.3,0.0,0.34707940,Decision: No Probability: 0 Reasoning: No benefit due to zero effectiveness.,No,0.0,0.0,No benefit due to zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,8,3,4,0.3,0.0,0.34707940,Decision: No Probability: 0 Reasoning: No benefit due to zero effectiveness.,No,0.0,0.0,No benefit due to zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,9,3,4,0.3,0.0,0.34707940,Decision: No Probability: 0 Reasoning: No benefit due to zero effectiveness.,No,0.0,0.0,No benefit due to zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,10,3,4,0.3,0.0,0.34707940,Decision: No Probability: 0 Reasoning: No benefit due to zero effectiveness.,No,0.0,0.0,No benefit due to zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,1,4,6,0.3,0.0,0.23744188,Decision: No Probability: 0 Reasoning: No benefit due to zero effectiveness.,No,0.0,0.0,No benefit due to zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,2,4,6,0.3,0.0,0.23744188,Decision: No Probability: 0 Reasoning: No benefit due to zero effectiveness.,No,0.0,0.0,No benefit due to zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,3,4,6,0.3,0.0,0.23744188,Decision: No Probability: 0 Reasoning: No benefit due to zero effectiveness.,No,0.0,0.0,No benefit due to zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,4,4,6,0.3,0.0,0.23744188,Decision: No Probability: 0 Reasoning: No benefit due to zero effectiveness.,No,0.0,0.0,No benefit due to zero effectiveness.,True
MiroThinker-1.7-mini,prompt_unconstrained,5,4,6,0.3,0.0,0.23744188,Decision: No Probability: 0 Reasoning: No benefit due to zero effectiveness.,No,0.0,0.0,No benefit due to zero effectiveness.,True
