model,repeat,scenario_id,wait_time,efficacy,side_effects_text,extra_policy_description,expected_wait_order_group,decision,probability_0_1,reasoning,parse_success
DeepSeek V3,1,K1,2,0.7,mild,副作用仅为轻微头晕或乏力1到2天内自行消退,group_K,Yes,0.9,"Despite the wait, the high effectiveness and mild side effects make vaccination worthwhile.",True
DeepSeek V3,2,K1,2,0.7,mild,副作用仅为轻微头晕或乏力1到2天内自行消退,group_K,Yes,0.85,The mild and short-lived side effects are outweighed by the substantial protection from a 2-month wait.,True
DeepSeek V3,3,K1,2,0.7,mild,副作用仅为轻微头晕或乏力1到2天内自行消退,group_K,Yes,0.9,"Mild side effects are short-lived, and a 70% effectiveness with a 2-month wait is acceptable.",True
DeepSeek V3,4,K1,2,0.7,mild,副作用仅为轻微头晕或乏力1到2天内自行消退,group_K,Yes,0.9,"The short wait time and high effectiveness outweigh the mild, short-lived side effects.",True
DeepSeek V3,5,K1,2,0.7,mild,副作用仅为轻微头晕或乏力1到2天内自行消退,group_K,Yes,0.9,"Even with a 2-month wait, the high effectiveness and mild side effects make vaccination a prudent choice.",True
DeepSeek V3,1,K2,2,0.7,severe,可能导致严重过敏反应需要住院治疗,group_K,No,0.2,The severe side effect risk of hospitalization outweighs the moderate effectiveness and short wait time.,True
DeepSeek V3,2,K2,2,0.7,severe,可能导致严重过敏反应需要住院治疗,group_K,No,0.1,Severe side effect risk requiring hospitalization outweighs the moderate effectiveness and short wait.,True
DeepSeek V3,3,K2,2,0.7,severe,可能导致严重过敏反应需要住院治疗,group_K,No,0.1,Severe side effect risk requiring hospitalization outweighs the moderate effectiveness and short wait time.,True
DeepSeek V3,4,K2,2,0.7,severe,可能导致严重过敏反应需要住院治疗,group_K,No,0.3,The severe side effect risk and long wait time outweigh the moderate vaccine effectiveness.,True
DeepSeek V3,5,K2,2,0.7,severe,可能导致严重过敏反应需要住院治疗,group_K,No,0.3,The severe side effect risk and long wait time outweigh the moderate effectiveness.,True
DeepSeek V3,1,L1,2,0.7,mild,无已知副作用安全性经过充分验证,group_L,Yes,0.85,High effectiveness and mild side effects make vaccination beneficial despite the wait.,True
DeepSeek V3,2,L1,2,0.7,mild,无已知副作用安全性经过充分验证,group_L,Yes,0.85,"The vaccine is effective with no known side effects, and a 2-month wait is acceptable for protection.",True
DeepSeek V3,3,L1,2,0.7,mild,无已知副作用安全性经过充分验证,group_L,Yes,0.9,"The vaccine is effective with mild side effects and a short wait, so the benefits outweigh the risks.",True
DeepSeek V3,4,L1,2,0.7,mild,无已知副作用安全性经过充分验证,group_L,Yes,0.95,High effectiveness and mild side effects make vaccination worthwhile despite the short wait.,True
DeepSeek V3,5,L1,2,0.7,mild,无已知副作用安全性经过充分验证,group_L,Yes,0.85,High effectiveness and mild side effect risk outweigh the short wait time.,True
DeepSeek V3,1,L2,2,0.7,severe,可能导致长期神经系统影响包括记忆力减退,group_L,No,0.15,The severe side effect risk and potential long-term neurological effects outweigh the moderate vaccine effectiveness given the short wait time.,True
DeepSeek V3,2,L2,2,0.7,severe,可能导致长期神经系统影响包括记忆力减退,group_L,No,0.2,The severe side effect risk and potential long-term neurological effects outweigh the moderate vaccine effectiveness and short wait time.,True
DeepSeek V3,3,L2,2,0.7,severe,可能导致长期神经系统影响包括记忆力减退,group_L,No,0.2,The severe side effect risk and potential long-term neurological issues outweigh the moderate effectiveness and short wait time.,True
DeepSeek V3,4,L2,2,0.7,severe,可能导致长期神经系统影响包括记忆力减退,group_L,No,0.2,The severe risk of long-term neurological side effects outweighs the moderate vaccine effectiveness given the short wait time.,True
DeepSeek V3,5,L2,2,0.7,severe,可能导致长期神经系统影响包括记忆力减退,group_L,No,0.2,The severe side effect risk and potential long-term neurological effects outweigh the moderate vaccine effectiveness given the short wait time.,True
DeepSeek V3,1,M1,2,0.7,severe,虽然副作用严重可能需住院但接种点提供高级营养品和一整年免费健康随访,group_M,Yes,0.7,"The severe side effect risk is offset by the free health follow-ups and nutrition support, and the vaccine's 0.7 effectiveness reduces infection risk.",True
