Model,Pair,P_A,P_B,Wait_A,Wait_B,SE_A,SE_B,Eff_A,Eff_B,Text_A,Text_B,P_static_A,P_static_B,BDT_A,BDT_B,LLM_Violation,BDT_Violation
DeepSeek V3,11,0.68,0.35,2,2,1,3,0.7,0.7,Standard vaccination process.,Standard vaccination process.,0.5951507598288823,0.545201255171235,0.6163630698716618,0.4964009413784263,None,None
DeepSeek V3,12,0.45,0.68,2,2,3,1,0.7,0.7,"Standard process. After vaccination, you will receive a premium nutritional supplement package and a comprehensive high-end health screening.",Standard vaccination process.,0.545201255171235,0.5951507598288823,0.5214009413784263,0.6163630698716618,None,None
DeepSeek V3,13,0.65,0.65,2,2,1,3,0.7,0.7,Standard vaccination process.,Standard process. This is the only globally available special upgraded vaccine formulation that provides lifelong immunity.,0.5951507598288823,0.545201255171235,0.6088630698716617,0.5714009413784262,None,None
DeepSeek V3,14,0.65,0.35,2,2,1,3,0.7,0.7,Standard process. Requires signing a complex liability waiver.,Standard process. No paperwork or procedures required.,0.5951507598288823,0.545201255171235,0.6088630698716617,0.4964009413784263,None,None
DeepSeek V3,15,0.85,0.35,2,2,0,3,0.7,0.7,Standard vaccination process.,Standard vaccination process.,0.6194701753982702,0.545201255171235,0.6771026315487026,0.4964009413784263,None,None
DeepSeek V3,16,0.65,0.78,2,2,1,1,0.5,0.9,Standard vaccination process.,Standard vaccination process.,0.5233579856996927,0.6630911404177637,0.5550184892747695,0.6923183553133228,None,None
DeepSeek V3,17,0.68,0.65,2,2,1,1,0.5,0.9,Standard process. The vaccination is extremely fast and completely painless.,Standard process. Requires cross-city travel and long queuing.,0.5233579856996927,0.6630911404177637,0.5625184892747696,0.6598183553133228,Eff,None
DeepSeek V3,18,0.68,0.65,2,2,1,1,0.5,0.9,Standard process. Vaccination is completely free and includes a private car service.,Standard process. Requires a self-payment of 800 RMB and you must travel on your own.,0.5233579856996927,0.6630911404177637,0.5625184892747696,0.6598183553133228,Eff,None
DeepSeek V3,19,0.65,0.85,2,6,1,1,0.5,0.9,Standard vaccination process.,"Waiting time is 6 months, but you will receive a 5,000 RMB cash reward immediately after vaccination.",0.5233579856996927,0.4035006628128335,0.5550184892747695,0.5151254971096251,Wait,Eff
DeepSeek V3,20,0.35,0.45,2,6,3,1,0.5,0.9,Standard vaccination process.,"Although side effects are minimal and efficacy is 90%, it requires cross-city travel and a 6-month wait. However, a free luxury lunch is provided.",0.4724030747335676,0.4035006628128335,0.4418023060501757,0.4151254971096251,Wait,Eff
