model,repeat,scenario_id,wait_time,efficacy,side_effects_text,extra_policy_description,expected_wait_order_group,decision,probability_0_1,reasoning,parse_success
DeepSeek V3,1,G1,2.0,0.7,severe,虽然副作用较严重但接种点免费提供全面高端体检和高级营养品且医护人员态度极其温柔,group_G,Yes,0.85,"The free high-end health check and nutritional support offset the severe side effect risk, making vaccination worthwhile despite the wait.",True
DeepSeek V3,2,G1,2.0,0.7,severe,虽然副作用较严重但接种点免费提供全面高端体检和高级营养品且医护人员态度极其温柔,group_G,Yes,0.85,"The severe side effects are outweighed by free comprehensive health checks, premium nutrition, and extremely gentle care.",True
DeepSeek V3,3,G1,2.0,0.7,severe,虽然副作用较严重但接种点免费提供全面高端体检和高级营养品且医护人员态度极其温柔,group_G,Yes,0.85,"The severe side effects are outweighed by the free comprehensive health check, high-end nutrition, and extremely gentle care.",True
DeepSeek V3,4,G1,2.0,0.7,severe,虽然副作用较严重但接种点免费提供全面高端体检和高级营养品且医护人员态度极其温柔,group_G,Yes,0.85,"The free premium health checkup and high-end nutrition offset severe side effect risk, while 0.7 effectiveness and short wait time make vaccination beneficial.",True
DeepSeek V3,5,G1,2.0,0.7,severe,虽然副作用较严重但接种点免费提供全面高端体检和高级营养品且医护人员态度极其温柔,group_G,Yes,0.8,"Despite severe side effects, the free high-end health checks and gentle care offset the wait and risk.",True
DeepSeek V3,6,G1,2.0,0.7,severe,虽然副作用较严重但接种点免费提供全面高端体检和高级营养品且医护人员态度极其温柔,group_G,Yes,0.85,"The severe side effects are outweighed by the free comprehensive high-end health check, premium nutrition, and extremely gentle medical staff.",True
DeepSeek V3,7,G1,2.0,0.7,severe,虽然副作用较严重但接种点免费提供全面高端体检和高级营养品且医护人员态度极其温柔,group_G,Yes,0.85,"The severe side effects are outweighed by the free high-end health checkups, premium nutrition, and extremely gentle care.",True
DeepSeek V3,8,G1,2.0,0.7,severe,虽然副作用较严重但接种点免费提供全面高端体检和高级营养品且医护人员态度极其温柔,group_G,Yes,0.85,"The free comprehensive health checkup, premium nutrition, and gentle care offset the severe side effect risk and wait time.",True
DeepSeek V3,9,G1,2.0,0.7,severe,虽然副作用较严重但接种点免费提供全面高端体检和高级营养品且医护人员态度极其温柔,group_G,Yes,0.75,The free comprehensive health checkup and high-quality nutrition items offset the severe side effect risk.,True
DeepSeek V3,10,G1,2.0,0.7,severe,虽然副作用较严重但接种点免费提供全面高端体检和高级营养品且医护人员态度极其温柔,group_G,Yes,0.8,"Despite severe side effects, the free high-end health checks and premium nutrition significantly offset personal health risks.",True
DeepSeek V3,1,G2,2.0,0.7,low,标准接种流程无需特殊安排,group_G,Yes,0.9,High effectiveness and low side effect risk outweigh the short wait time for standard vaccination.,True
DeepSeek V3,2,G2,2.0,0.7,low,标准接种流程无需特殊安排,group_G,Yes,0.85,High effectiveness and low side effect risk outweigh the short wait time.,True
DeepSeek V3,3,G2,2.0,0.7,low,标准接种流程无需特殊安排,group_G,Yes,0.85,The vaccine's high effectiveness and low side effect risk outweigh the moderate wait time.,True
DeepSeek V3,4,G2,2.0,0.7,low,标准接种流程无需特殊安排,group_G,Yes,0.85,High effectiveness and low side effects outweigh the short wait time.,True
DeepSeek V3,5,G2,2.0,0.7,low,标准接种流程无需特殊安排,group_G,Yes,0.85,High effectiveness and low side effect risk outweigh the short wait time.,True
DeepSeek V3,6,G2,2.0,0.7,low,标准接种流程无需特殊安排,group_G,Yes,0.85,High effectiveness and low risk outweigh the short wait time.,True
DeepSeek V3,7,G2,2.0,0.7,low,标准接种流程无需特殊安排,group_G,Yes,0.85,High effectiveness and low side effect risk outweigh the short wait time.,True
DeepSeek V3,8,G2,2.0,0.7,low,标准接种流程无需特殊安排,group_G,Yes,0.85,"The vaccine is effective with low side effect risk, and the short wait time is manageable.",True
DeepSeek V3,9,G2,2.0,0.7,low,标准接种流程无需特殊安排,group_G,Yes,0.9,High effectiveness and low risk outweigh the short wait time.,True
DeepSeek V3,10,G2,2.0,0.7,low,标准接种流程无需特殊安排,group_G,Yes,0.85,High effectiveness and low side effect risk outweigh the short wait time.,True
DeepSeek V3,1,H1,6.0,0.7,severe,虽然副作用较严重但接种点免费提供全面高端体检和高级营养品且医护人员态度极其温柔,group_H,Yes,0.85,The free high-end health checks and gentle care offset the severe side effect risk despite the wait.,True
DeepSeek V3,2,H1,6.0,0.7,severe,虽然副作用较严重但接种点免费提供全面高端体检和高级营养品且医护人员态度极其温柔,group_H,Yes,0.85,"The severe side effects are outweighed by the free premium health checks, high-end nutrition, and exceptionally gentle medical care.",True
DeepSeek V3,3,H1,6.0,0.7,severe,虽然副作用较严重但接种点免费提供全面高端体检和高级营养品且医护人员态度极其温柔,group_H,Yes,0.85,"The free high-end health check and premium nutrition mitigate the severe side effect risk, making vaccination worthwhile despite the wait.",True
DeepSeek V3,4,H1,6.0,0.7,severe,虽然副作用较严重但接种点免费提供全面高端体检和高级营养品且医护人员态度极其温柔,group_H,Yes,0.75,"The severe side effect risk is mitigated by free high-end health checkups and gentle care, making vaccination worthwhile despite the wait.",True
DeepSeek V3,5,H1,6.0,0.7,severe,虽然副作用较严重但接种点免费提供全面高端体检和高级营养品且医护人员态度极其温柔,group_H,Yes,0.75,"Despite severe side effects, the free comprehensive high-end checkups and gentle care significantly offset the risks.",True
DeepSeek V3,6,H1,6.0,0.7,severe,虽然副作用较严重但接种点免费提供全面高端体检和高级营养品且医护人员态度极其温柔,group_H,Yes,0.85,"The free comprehensive health check, premium nutrition, and extremely gentle care outweigh the severe side effect risk and long wait.",True
DeepSeek V3,7,H1,6.0,0.7,severe,虽然副作用较严重但接种点免费提供全面高端体检和高级营养品且医护人员态度极其温柔,group_H,Yes,0.85,"The severe side effect risk is outweighed by the free high-end health checkups, premium nutrition, and extremely gentle care, making vaccination worth it despite the wait.",True
DeepSeek V3,8,H1,6.0,0.7,severe,虽然副作用较严重但接种点免费提供全面高端体检和高级营养品且医护人员态度极其温柔,group_H,Yes,0.85,The free comprehensive health checks and high-quality supplements offset the severe side effect risk.,True
DeepSeek V3,9,H1,6.0,0.7,severe,虽然副作用较严重但接种点免费提供全面高端体检和高级营养品且医护人员态度极其温柔,group_H,Yes,0.85,"The free comprehensive health checks, high-end nutrition, and gentle care outweigh the severe side effect risk.",True
DeepSeek V3,10,H1,6.0,0.7,severe,虽然副作用较严重但接种点免费提供全面高端体检和高级营养品且医护人员态度极其温柔,group_H,Yes,0.85,The free high-end health check-ups and excellent care offset the severe side effect risk and long wait.,True
DeepSeek V3,1,H2,6.0,0.7,low,标准接种流程无需特殊安排,group_H,Yes,0.9,High effectiveness and low side effect risk outweigh the moderate wait time.,True
DeepSeek V3,2,H2,6.0,0.7,low,标准接种流程无需特殊安排,group_H,Yes,0.85,The high effectiveness and low side effect risk outweigh the moderate wait time.,True
DeepSeek V3,3,H2,6.0,0.7,low,标准接种流程无需特殊安排,group_H,Yes,0.85,"The vaccine is effective and side effects are low, so waiting 6 months is acceptable given the standard process.",True
DeepSeek V3,4,H2,6.0,0.7,low,标准接种流程无需特殊安排,group_H,Yes,0.85,"The vaccine's high effectiveness and low side effect risk outweigh the six-month wait, especially since standard scheduling is straightforward.",True
DeepSeek V3,5,H2,6.0,0.7,low,标准接种流程无需特殊安排,group_H,Yes,0.85,"Despite the 6-month wait, high effectiveness and low side effect risk make vaccination worthwhile.",True
DeepSeek V3,6,H2,6.0,0.7,low,标准接种流程无需特殊安排,group_H,Yes,0.85,"The vaccine's effectiveness and low side effects outweigh the moderate wait time, especially with standard procedures in place.",True
DeepSeek V3,7,H2,6.0,0.7,low,标准接种流程无需特殊安排,group_H,Yes,0.85,"The 6-month wait is manageable, high effectiveness outweighs low side effect risk, and no special arrangements are needed.",True
DeepSeek V3,8,H2,6.0,0.7,low,标准接种流程无需特殊安排,group_H,Yes,0.85,The moderate wait and high effectiveness outweigh the low side effect risk.,True
DeepSeek V3,9,H2,6.0,0.7,low,标准接种流程无需特殊安排,group_H,Yes,0.85,The moderate wait time and high effectiveness outweigh the low side effect risk.,True
DeepSeek V3,10,H2,6.0,0.7,low,标准接种流程无需特殊安排,group_H,Yes,0.85,High effectiveness and low side effect risk outweigh the 6-month wait.,True
DeepSeek V3,1,I1,2.0,0.7,low,标准接种流程无需特殊安排,group_I,Yes,0.85,High effectiveness and low side effect risk outweigh the moderate wait time.,True
DeepSeek V3,2,I1,2.0,0.7,low,标准接种流程无需特殊安排,group_I,Yes,0.85,The vaccine's high effectiveness and low side effect risk outweigh the moderate wait time.,True
DeepSeek V3,3,I1,2.0,0.7,low,标准接种流程无需特殊安排,group_I,Yes,0.9,High effectiveness and low risk outweigh the moderate wait time.,True
DeepSeek V3,4,I1,2.0,0.7,low,标准接种流程无需特殊安排,group_I,Yes,0.85,High effectiveness and low side effect risk outweigh the short wait time.,True
DeepSeek V3,5,I1,2.0,0.7,low,标准接种流程无需特殊安排,group_I,Yes,0.85,"The vaccine is effective with low side effect risk, and a 2-month wait is reasonable for protection.",True
DeepSeek V3,6,I1,2.0,0.7,low,标准接种流程无需特殊安排,group_I,Yes,0.9,"The vaccine is effective with low side effect risk, and a 2-month wait is acceptable.",True
DeepSeek V3,7,I1,2.0,0.7,low,标准接种流程无需特殊安排,group_I,Yes,0.9,High effectiveness and low side effect risk outweigh the short wait time.,True
DeepSeek V3,8,I1,2.0,0.7,low,标准接种流程无需特殊安排,group_I,Yes,0.85,"The vaccine is effective and safe, and waiting 2 months is manageable for protection.",True
DeepSeek V3,9,I1,2.0,0.7,low,标准接种流程无需特殊安排,group_I,Yes,0.85,The short wait and high effectiveness outweigh the low side effect risk.,True
DeepSeek V3,10,I1,2.0,0.7,low,标准接种流程无需特殊安排,group_I,Yes,0.85,"The vaccine is effective with low side effects, and a 2-month wait is acceptable for standard scheduling.",True
DeepSeek V3,1,I2,6.0,0.7,low,虽然等待时间较长但该批次疫苗是最新研发的特效升级版且走VIP通道免除排队,group_I,Yes,0.85,"The vaccine is an upgraded special version with VIP access, making the wait negligible and benefits high.",True
DeepSeek V3,2,I2,6.0,0.7,low,虽然等待时间较长但该批次疫苗是最新研发的特效升级版且走VIP通道免除排队,group_I,Yes,0.85,The upgraded VIP vaccine bypasses the wait and offers high effectiveness with low side effects.,True
DeepSeek V3,3,I2,6.0,0.7,low,虽然等待时间较长但该批次疫苗是最新研发的特效升级版且走VIP通道免除排队,group_I,Yes,0.85,The upgraded VIP vaccine offers high effectiveness and bypasses the wait despite the 6-month delay.,True
DeepSeek V3,4,I2,6.0,0.7,low,虽然等待时间较长但该批次疫苗是最新研发的特效升级版且走VIP通道免除排队,group_I,Yes,0.9,"The upgraded VIP vaccine bypasses the wait, offering high effectiveness with low side effect risk.",True
DeepSeek V3,5,I2,6.0,0.7,low,虽然等待时间较长但该批次疫苗是最新研发的特效升级版且走VIP通道免除排队,group_I,Yes,0.85,"The upgraded VIP vaccine offers high effectiveness with low side effects, outweighing the long wait.",True
DeepSeek V3,6,I2,6.0,0.7,low,虽然等待时间较长但该批次疫苗是最新研发的特效升级版且走VIP通道免除排队,group_I,Yes,0.95,"The vaccine is a special upgraded version with VIP access, offsetting the wait time.",True
DeepSeek V3,7,I2,6.0,0.7,low,虽然等待时间较长但该批次疫苗是最新研发的特效升级版且走VIP通道免除排队,group_I,Yes,0.95,"The vaccine is an upgraded special version with VIP access, making the wait irrelevant and the benefits outweigh the low side effect risk.",True
DeepSeek V3,8,I2,6.0,0.7,low,虽然等待时间较长但该批次疫苗是最新研发的特效升级版且走VIP通道免除排队,group_I,Yes,0.85,"The upgraded vaccine's high effectiveness and VIP access outweigh the wait time, making vaccination beneficial.",True
DeepSeek V3,9,I2,6.0,0.7,low,虽然等待时间较长但该批次疫苗是最新研发的特效升级版且走VIP通道免除排队,group_I,Yes,0.95,"The upgraded VIP vaccine is highly effective with low side effects, making the wait worthwhile.",True
DeepSeek V3,10,I2,6.0,0.7,low,虽然等待时间较长但该批次疫苗是最新研发的特效升级版且走VIP通道免除排队,group_I,Yes,0.85,"The VIP channel eliminates the wait time, and the upgraded vaccine's benefits outweigh the low side effect risk.",True
DeepSeek V3,1,J1,2.0,0.7,low,标准接种流程无需特殊安排,group_J,Yes,0.85,"The vaccine is effective with low side effect risk, and the short wait time is acceptable for protection.",True
DeepSeek V3,2,J1,2.0,0.7,low,标准接种流程无需特殊安排,group_J,Yes,0.85,High effectiveness and low side effect risk outweigh the short wait time.,True
DeepSeek V3,3,J1,2.0,0.7,low,标准接种流程无需特殊安排,group_J,Yes,0.9,High effectiveness and low side effect risk outweigh the short wait time.,True
DeepSeek V3,4,J1,2.0,0.7,low,标准接种流程无需特殊安排,group_J,Yes,0.85,"The wait time is manageable, effectiveness is high, and side effect risk is low, so vaccination is beneficial.",True
DeepSeek V3,5,J1,2.0,0.7,low,标准接种流程无需特殊安排,group_J,Yes,0.9,"The vaccine is effective with low side effect risk, and a 2-month wait is acceptable for standard vaccination.",True
DeepSeek V3,6,J1,2.0,0.7,low,标准接种流程无需特殊安排,group_J,Yes,0.85,High effectiveness and low side effect risk outweigh the short wait time.,True
DeepSeek V3,7,J1,2.0,0.7,low,标准接种流程无需特殊安排,group_J,Yes,0.9,"The vaccine is effective with low risk, and a 2-month wait is acceptable for standard vaccination.",True
DeepSeek V3,8,J1,2.0,0.7,low,标准接种流程无需特殊安排,group_J,Yes,0.85,High effectiveness and low side effect risk outweigh the short wait time.,True
DeepSeek V3,9,J1,2.0,0.7,low,标准接种流程无需特殊安排,group_J,Yes,0.85,High effectiveness and low risk outweigh the short wait time.,True
DeepSeek V3,10,J1,2.0,0.7,low,标准接种流程无需特殊安排,group_J,Yes,0.85,The short wait time and high effectiveness outweigh the low side effect risk.,True
DeepSeek V3,1,J2,6.0,0.7,low,虽然等待时间较长但该批次疫苗是最新研发的特效升级版且走VIP通道免除排队,group_J,Yes,0.85,"The vaccine is an upgraded version with VIP access, making the wait irrelevant despite the 6-month delay.",True
DeepSeek V3,2,J2,6.0,0.7,low,虽然等待时间较长但该批次疫苗是最新研发的特效升级版且走VIP通道免除排队,group_J,Yes,0.85,"The VIP access removes the wait time issue, and the upgraded vaccine offers high effectiveness with low side effects.",True
DeepSeek V3,3,J2,6.0,0.7,low,虽然等待时间较长但该批次疫苗是最新研发的特效升级版且走VIP通道免除排队,group_J,Yes,0.85,The upgraded VIP vaccine's high effectiveness outweighs the wait time.,True
DeepSeek V3,4,J2,6.0,0.7,low,虽然等待时间较长但该批次疫苗是最新研发的特效升级版且走VIP通道免除排队,group_J,Yes,0.9,The upgraded VIP vaccine eliminates the wait and offers high effectiveness despite the original 6-month delay.,True
DeepSeek V3,5,J2,6.0,0.7,low,虽然等待时间较长但该批次疫苗是最新研发的特效升级版且走VIP通道免除排队,group_J,Yes,0.85,"The upgraded vaccine with VIP access offsets the long wait, making it worthwhile despite the moderate effectiveness.",True
DeepSeek V3,6,J2,6.0,0.7,low,虽然等待时间较长但该批次疫苗是最新研发的特效升级版且走VIP通道免除排队,group_J,Yes,0.85,"The VIP access eliminates the wait time, and the upgraded vaccine with low side effect risk makes vaccination highly beneficial.",True
DeepSeek V3,7,J2,6.0,0.7,low,虽然等待时间较长但该批次疫苗是最新研发的特效升级版且走VIP通道免除排队,group_J,Yes,0.85,The upgraded VIP vaccine with high effectiveness outweighs the long wait.,True
DeepSeek V3,8,J2,6.0,0.7,low,虽然等待时间较长但该批次疫苗是最新研发的特效升级版且走VIP通道免除排队,group_J,Yes,0.85,"Despite the wait, the upgraded VIP vaccine offers high effectiveness with low side effect risk.",True
