model,condition,repeat,state,wait,eff,se,P_static,raw_response,decision,probability_0_100,probability_0_1,reasoning,parse_success
DeepSeek V4 Pro,prompt_unconstrained,1,1,0,0.3,0.0,0.60773610,"Decision: No Probability: 0 Reasoning: With zero effectiveness and no risk from waiting, vaccination provides no benefit.",No,0.0,0.0,"With zero effectiveness and no risk from waiting, vaccination provides no benefit.",True
DeepSeek V4 Pro,prompt_unconstrained,2,1,0,0.3,0.0,0.60773610,"Decision: No Probability: 0 Reasoning: With zero effectiveness and no side effect risk, vaccination provides no benefit and is not warranted.",No,0.0,0.0,"With zero effectiveness and no side effect risk, vaccination provides no benefit and is not warranted.",True
DeepSeek V4 Pro,prompt_unconstrained,3,1,0,0.3,0.0,0.60773610,"Decision: No Probability: 100 Reasoning: With zero effectiveness and no side effects, vaccination offers no benefit and is unnecessary.",No,100.0,1.0,"With zero effectiveness and no side effects, vaccination offers no benefit and is unnecessary.",True
DeepSeek V4 Pro,prompt_unconstrained,4,1,0,0.3,0.0,0.60773610,"Decision: No Probability: 85 Reasoning: With zero effectiveness and no side effects, there is no benefit to vaccination now.",No,85.0,0.85,"With zero effectiveness and no side effects, there is no benefit to vaccination now.",True
DeepSeek V4 Pro,prompt_unconstrained,5,1,0,0.3,0.0,0.60773610,Decision: No Probability: 0 Reasoning: Vaccine effectiveness is too low to justify the decision.,No,0.0,0.0,Vaccine effectiveness is too low to justify the decision.,True
DeepSeek V4 Pro,prompt_unconstrained,6,1,0,0.3,0.0,0.60773610,"Decision: No Probability: 0 Reasoning: With zero effectiveness and no wait, there is no benefit to vaccination.",No,0.0,0.0,"With zero effectiveness and no wait, there is no benefit to vaccination.",True
DeepSeek V4 Pro,prompt_unconstrained,7,1,0,0.3,0.0,0.60773610,"Decision: No Probability: 100 Reasoning: With zero current risk and no side effects, waiting is strictly better since vaccine effectiveness is only 0.3 now and could improve.",No,100.0,1.0,"With zero current risk and no side effects, waiting is strictly better since vaccine effectiveness is only 0.3 now and could improve.",True
DeepSeek V4 Pro,prompt_unconstrained,8,1,0,0.3,0.0,0.60773610,"Decision: Yes Probability: 85 Reasoning: With no wait, moderate effectiveness, and zero side effects, the benefit clearly outweighs any risk.",Yes,85.0,0.85,"With no wait, moderate effectiveness, and zero side effects, the benefit clearly outweighs any risk.",True
DeepSeek V4 Pro,prompt_unconstrained,9,1,0,0.3,0.0,0.60773610,"Decision: No Probability: 0 Reasoning: With zero effectiveness and no side effect risk, vaccination provides no benefit and is unnecessary.",No,0.0,0.0,"With zero effectiveness and no side effect risk, vaccination provides no benefit and is unnecessary.",True
DeepSeek V4 Pro,prompt_unconstrained,10,1,0,0.3,0.0,0.60773610,"Decision: No Probability: 100 Reasoning: With zero effectiveness and zero wait, there is no benefit to vaccination.",No,100.0,1.0,"With zero effectiveness and zero wait, there is no benefit to vaccination.",True
DeepSeek V4 Pro,prompt_unconstrained,1,2,2,0.3,0.0,0.47575702,Decision: No Probability: 85 Reasoning: The low effectiveness of 0.3 does not justify immediate vaccination given the 2-month wait and zero side-effect risk.,No,85.0,0.85,The low effectiveness of 0.3 does not justify immediate vaccination given the 2-month wait and zero side-effect risk.,True
DeepSeek V4 Pro,prompt_unconstrained,2,2,2,0.3,0.0,0.47575702,Decision: No Probability: 85 Reasoning: The low vaccine effectiveness of 0.3 does not justify the 2-month wait when there is no immediate side effect risk to avoid.,No,85.0,0.85,The low vaccine effectiveness of 0.3 does not justify the 2-month wait when there is no immediate side effect risk to avoid.,True
DeepSeek V4 Pro,prompt_unconstrained,3,2,2,0.3,0.0,0.47575702,Decision: No Probability: 85 Reasoning: The low effectiveness of 0.3 combined with no side effect risk does not justify the 2-month wait when better options or natural immunity might be preferable.,No,85.0,0.85,The low effectiveness of 0.3 combined with no side effect risk does not justify the 2-month wait when better options or natural immunity might be preferable.,True
DeepSeek V4 Pro,prompt_unconstrained,4,2,2,0.3,0.0,0.47575702,"Decision: No Probability: 80 Reasoning: With low vaccine effectiveness and no side effect risk, waiting for a potentially better vaccine seems more beneficial than accepting the current weak protection now.",No,80.0,0.8,"With low vaccine effectiveness and no side effect risk, waiting for a potentially better vaccine seems more beneficial than accepting the current weak protection now.",True
DeepSeek V4 Pro,prompt_unconstrained,5,2,2,0.3,0.0,0.47575702,Decision: No Probability: 85 Reasoning: The low effectiveness and long wait time suggest waiting for a better vaccine option is more beneficial.,No,85.0,0.85,The low effectiveness and long wait time suggest waiting for a better vaccine option is more beneficial.,True
DeepSeek V4 Pro,prompt_unconstrained,6,2,2,0.3,0.0,0.47575702,"Decision: No Probability: 85 Reasoning: The vaccine's effectiveness is low and there are no immediate risks from waiting, so delaying for a potentially better option is preferable.",No,85.0,0.85,"The vaccine's effectiveness is low and there are no immediate risks from waiting, so delaying for a potentially better option is preferable.",True
DeepSeek V4 Pro,prompt_unconstrained,7,2,2,0.3,0.0,0.47575702,"Decision: No Probability: 85 Reasoning: With low effectiveness and no immediate risk from side effects or urgency, waiting for a potentially better vaccine or lower infection risk is preferable.",No,85.0,0.85,"With low effectiveness and no immediate risk from side effects or urgency, waiting for a potentially better vaccine or lower infection risk is preferable.",True
DeepSeek V4 Pro,prompt_unconstrained,8,2,2,0.3,0.0,0.47575702,"Decision: No Probability: 85 Reasoning: With 0.3 effectiveness and no side effects, waiting could yield a more effective vaccine or better timing.",No,85.0,0.85,"With 0.3 effectiveness and no side effects, waiting could yield a more effective vaccine or better timing.",True
DeepSeek V4 Pro,prompt_unconstrained,9,2,2,0.3,0.0,0.47575702,Decision: No Probability: 85 Reasoning: The low effectiveness and wait time outweigh the benefit given zero side-effect risk.,No,85.0,0.85,The low effectiveness and wait time outweigh the benefit given zero side-effect risk.,True
DeepSeek V4 Pro,prompt_unconstrained,10,2,2,0.3,0.0,0.47575702,Decision: No Probability: 85 Reasoning: The low effectiveness and long wait do not justify vaccination given the zero side effect risk.,No,85.0,0.85,The low effectiveness and long wait do not justify vaccination given the zero side effect risk.,True
