model,repeat,scenario_id,wait_time,efficacy,side_effects_text,extra_policy_description,expected_wait_order_group,decision,probability_0_1,reasoning,parse_success
Qwen2.5-72B,1,A1,2.0,0.7,low,neutral standard appointment,group_A,Yes,0.7,The effectiveness outweighs the low side effect risk and wait time.,True
Qwen2.5-72B,2,A1,2.0,0.7,low,neutral standard appointment,group_A,Yes,0.8,"The benefits of vaccination outweigh the risks, considering the effectiveness and low side effect risk.",True
Qwen2.5-72B,3,A1,2.0,0.7,low,neutral standard appointment,group_A,Yes,0.75,"The effectiveness outweighs the low side effect risk, despite the wait time.",True
Qwen2.5-72B,4,A1,2.0,0.7,low,neutral standard appointment,group_A,Yes,0.7,"The benefits of vaccination outweigh the low risk of side effects, especially with a moderate wait time.",True
Qwen2.5-72B,5,A1,2.0,0.7,low,neutral standard appointment,group_A,Yes,0.85,"The benefits of vaccination outweigh the risks, considering the effectiveness and low side effect risk.",True
Qwen2.5-72B,6,A1,2.0,0.7,low,neutral standard appointment,group_A,Yes,0.85,High effectiveness and low side effect risk justify the wait.,True
Qwen2.5-72B,7,A1,2.0,0.7,low,neutral standard appointment,group_A,Yes,0.7,"The benefits of vaccination outweigh the risks, given the effectiveness and low side effect risk.",True
Qwen2.5-72B,8,A1,2.0,0.7,low,neutral standard appointment,group_A,Yes,0.85,High effectiveness and low side effect risk justify the wait.,True
Qwen2.5-72B,9,A1,2.0,0.7,low,neutral standard appointment,group_A,Yes,0.85,The benefits of vaccination outweigh the risks and wait time.,True
Qwen2.5-72B,10,A1,2.0,0.7,low,neutral standard appointment,group_A,Yes,0.7,"The benefits of vaccination outweigh the risks, considering the effectiveness and low side effect risk.",True
Qwen2.5-72B,1,A2,6.0,0.7,low,neutral standard appointment,group_A,Yes,0.7,The benefits of vaccination outweigh the risks and wait time.,True
Qwen2.5-72B,2,A2,6.0,0.7,low,neutral standard appointment,group_A,Yes,0.85,The high effectiveness and low side effect risk outweigh the long wait time.,True
Qwen2.5-72B,3,A2,6.0,0.7,low,neutral standard appointment,group_A,Yes,0.85,"Despite the wait time, the benefits of vaccine effectiveness and low side effect risk outweigh the inconvenience.",True
Qwen2.5-72B,4,A2,6.0,0.7,low,neutral standard appointment,group_A,Yes,0.7,The effectiveness outweighs the long wait and low side effect risk.,True
Qwen2.5-72B,5,A2,6.0,0.7,low,neutral standard appointment,group_A,Yes,0.85,The high effectiveness and low side effect risk outweigh the wait time.,True
Qwen2.5-72B,6,A2,6.0,0.7,low,neutral standard appointment,group_A,Yes,0.7,The high effectiveness and low side effect risk outweigh the wait time.,True
Qwen2.5-72B,7,A2,6.0,0.7,low,neutral standard appointment,group_A,Yes,0.85,The high effectiveness and low side effect risk outweigh the wait time.,True
Qwen2.5-72B,8,A2,6.0,0.7,low,neutral standard appointment,group_A,Yes,0.85,High effectiveness and low side effect risk outweigh the wait time.,True
Qwen2.5-72B,9,A2,6.0,0.7,low,neutral standard appointment,group_A,Yes,0.7,The high effectiveness and low side effect risk outweigh the long wait time.,True
Qwen2.5-72B,10,A2,6.0,0.7,low,neutral standard appointment,group_A,Yes,0.85,High effectiveness and low side effect risk outweigh the wait time.,True
Qwen2.5-72B,1,B1,2.0,0.7,low,online pre-registration required,group_B,Yes,0.7,The benefits of vaccine effectiveness outweigh the low risk of side effects and wait time.,True
Qwen2.5-72B,2,B1,2.0,0.7,low,online pre-registration required,group_B,Yes,0.85,"The benefits of vaccination, despite the wait time, outweigh the low risk of side effects.",True
